iter	PRAUC	Logloss
0	0.3456764034	0.6796081628
1	0.3829699584	0.6662325265
2	0.3836897109	0.6544429043
3	0.3953725306	0.6430450993
4	0.3972918528	0.6325522274
5	0.4034719623	0.6226771935
6	0.4073057222	0.6131075899
7	0.4042273914	0.6045005407
8	0.4019535403	0.5964457151
9	0.4018650631	0.5885546959
10	0.402700389	0.5816111303
11	0.4029149399	0.5748327619
12	0.4065611002	0.5686486318
13	0.4055065545	0.562795348
14	0.4062646226	0.5570136865
15	0.4053631399	0.5519898265
16	0.4050840372	0.5471123081
17	0.4090967997	0.5418839623
18	0.4089598615	0.537845291
19	0.4103144507	0.5336230882
20	0.4112386415	0.5297899146
21	0.4107477389	0.526320938
22	0.4126737737	0.5223065377
23	0.4136955819	0.5194415211
24	0.4130003412	0.5168711253
25	0.4153995026	0.5138363199
26	0.41928367	0.5106806366
27	0.4217867438	0.5079696772
28	0.4215918609	0.5056942598
29	0.4244670626	0.5026209609
30	0.4263005792	0.5001544709
31	0.4282743311	0.4979202025
32	0.4285435132	0.4961060405
33	0.4300504088	0.4939505959
34	0.4334124775	0.4916086505
35	0.4337087035	0.4898580117
36	0.4380882817	0.4877815634
37	0.4399060735	0.4861370269
38	0.4430923765	0.4840504573
39	0.4439993403	0.4825982888
40	0.4457690689	0.4806604672
41	0.4462349011	0.4795196856
42	0.4489461745	0.4779809385
43	0.4504838881	0.4764380931
44	0.4516992965	0.4749781828
45	0.453876156	0.473748532
46	0.4556973589	0.4724802245
47	0.4557568136	0.4716094086
48	0.4560938148	0.4706821757
49	0.4568163897	0.4697983225
50	0.4580306006	0.4688755812
51	0.4601176916	0.4680488468
52	0.4608412694	0.467040225
53	0.4637080476	0.4659827342
54	0.4648705482	0.4650968079
55	0.4655409856	0.4640766889
56	0.4673753882	0.4632280859
57	0.467503941	0.4627446511
58	0.4680902904	0.462040174
59	0.4693828941	0.4613153247
60	0.4696848644	0.4607490751
61	0.4699263597	0.4600777255
62	0.4720067114	0.4592416274
63	0.4720507657	0.4588293413
64	0.4737602767	0.4580199841
65	0.4742402751	0.4574720857
66	0.4754929842	0.4570168893
67	0.4762173694	0.4562489823
68	0.4769595366	0.4557885216
69	0.4774550711	0.4551199597
70	0.4786492178	0.4545594462
71	0.4790645398	0.4542037401
72	0.4797203716	0.4536144879
73	0.4801591338	0.4533930343
74	0.4805867701	0.4529184331
75	0.4817766653	0.4523555676
76	0.4833940914	0.4517436869
77	0.4843532515	0.4512378085
78	0.4853322631	0.4506680652
79	0.4856337933	0.4502912308
80	0.4859440597	0.4499056081
81	0.4870609433	0.4494639227
82	0.4884046341	0.4488961335
83	0.4886284424	0.4484647707
84	0.4896937979	0.4480678595
85	0.4903259144	0.4477886051
86	0.4908014174	0.4474223139
87	0.4913875136	0.4470225097
88	0.492724791	0.446608091
89	0.4933035863	0.4462422494
90	0.4934148551	0.4460309531
91	0.4937455245	0.4457886951
92	0.4950097355	0.4453090881
93	0.4959890099	0.4448524689
94	0.4969112117	0.4445433404
95	0.497572062	0.4442620965
96	0.4978825959	0.4438509517
97	0.4985351067	0.4436532178
98	0.4995131465	0.4432491782
99	0.4999857547	0.4429699776
100	0.50009005	0.4426346526
101	0.500753525	0.4422388331
102	0.5015538942	0.4419071989
103	0.5024109558	0.4416165219
104	0.5028747712	0.4414013841
105	0.5035547102	0.4411629383
106	0.5038519414	0.4408671479
107	0.5045368296	0.4406642546
108	0.5051201389	0.4402196114
109	0.5054567346	0.4399916796
110	0.5058317906	0.4398405791
111	0.5064273174	0.4396380206
112	0.506952518	0.4393015546
113	0.5075811669	0.4390302865
114	0.5077698406	0.4387412954
115	0.5081963797	0.4385141131
116	0.5086129262	0.4382932639
117	0.509910413	0.4378070854
118	0.5108772418	0.4374543039
119	0.5113316569	0.4372403014
120	0.5116619807	0.436963416
121	0.5123288588	0.4367406173
122	0.513282311	0.4365144264
123	0.5146931877	0.4360683202
124	0.515893012	0.4355780921
125	0.5164950607	0.4353705084
126	0.5170376533	0.4351436302
127	0.5172144364	0.434976642
128	0.5174701917	0.4347949773
129	0.5180021986	0.4346458791
130	0.5182742367	0.4345222337
131	0.5189071258	0.4343218093
132	0.5199423273	0.4339897496
133	0.520976443	0.4336505171
134	0.5214450505	0.4334106221
135	0.5222796565	0.4331633616
136	0.5228044506	0.4329823933
137	0.5237822829	0.4327038406
138	0.524072386	0.4325126955
139	0.5251439272	0.4322460597
140	0.5258050475	0.4320546967
141	0.5267938133	0.4318533893
142	0.5275497724	0.4316968353
143	0.5285232523	0.4313245973
144	0.5290149717	0.431139819
145	0.5298595098	0.4308688556
146	0.5300828069	0.4305998761
147	0.5304818976	0.4304423567
148	0.531393298	0.4301420763
149	0.5322646239	0.4298660488
150	0.5332502799	0.4295491139
151	0.5340422466	0.429376788
152	0.5342864179	0.4292070398
153	0.5353693421	0.4287994294
154	0.5357278825	0.4286483757
155	0.536011017	0.4285525741
156	0.5365390294	0.4283879848
157	0.5368460263	0.4282171101
158	0.5370259087	0.4280970406
159	0.5380177613	0.4278846832
160	0.5387125857	0.4277406338
161	0.5389829518	0.4275669023
162	0.539668028	0.4274313434
163	0.5402526679	0.4272881474
164	0.5409443388	0.4271064822
165	0.5416578239	0.4268828203
166	0.5422467879	0.4266534581
167	0.542715435	0.4264642148
168	0.5432791106	0.4262621109
169	0.5434140139	0.4262064651
170	0.5439494361	0.4259630506
171	0.5440953708	0.4258607082
172	0.5446296522	0.4257481399
173	0.5447750023	0.425659922
174	0.545007148	0.4255582916
175	0.5451770341	0.4253999481
176	0.5460473234	0.4251806281
177	0.5471111734	0.424858924
178	0.5478126311	0.4246511231
179	0.5485562352	0.4244521819
180	0.5490492845	0.4242934686
181	0.5496035261	0.4241456019
182	0.5502809278	0.4239669418
183	0.5507048752	0.4237345758
184	0.5514265258	0.4235312061
185	0.5518654282	0.4233008687
186	0.5524479522	0.4231548098
187	0.5528703898	0.4230022422
188	0.5533183237	0.4228545454
189	0.5534626966	0.4227803484
190	0.5541870904	0.4226111605
191	0.5544321434	0.4225220527
192	0.5550912186	0.4223818525
193	0.5557957139	0.4220943626
194	0.5562436875	0.4219350944
195	0.5566839206	0.42183218
196	0.5571956634	0.4216543779
197	0.5576442345	0.4214273399
198	0.558204747	0.4212573814
199	0.5584864707	0.4211294601
200	0.5592623929	0.4209150569
201	0.5593092	0.4208747525
202	0.5595165449	0.4207568666
203	0.5597836398	0.4205551673
204	0.560233475	0.4204481146
205	0.5604923877	0.4203617387
206	0.5607140481	0.4202755938
207	0.5612708905	0.420128742
208	0.5614268092	0.4199550854
209	0.5619576828	0.4197981865
210	0.5624342925	0.4196452837
211	0.5627361098	0.4195373609
212	0.563047005	0.4194015547
213	0.5634411909	0.4192582507
214	0.5637648975	0.4191183544
215	0.5643007741	0.4189443119
216	0.564887023	0.4187830946
217	0.5653753495	0.4186572081
218	0.5660855305	0.4184764048
219	0.5663249039	0.4184025404
220	0.5670837558	0.4182450552
221	0.5680343755	0.418027302
222	0.5687153681	0.4178199276
223	0.5691073013	0.4176971117
224	0.5699721261	0.4175242798
225	0.5701975468	0.4174370436
226	0.5702761029	0.4174138432
227	0.5709736557	0.4172504232
228	0.5712274305	0.4171181988
229	0.5711483213	0.4169938709
230	0.5718101309	0.4168213822
231	0.5725007771	0.4166226744
232	0.5725716405	0.4165818455
233	0.5733592182	0.4163878633
234	0.5739578689	0.4162335995
235	0.5746824131	0.4160707424
236	0.575250597	0.4158603709
237	0.5759943402	0.4156779583
238	0.5764371477	0.4155649747
239	0.5770959089	0.4154479281
