iter	Passed	Remaining
0	14	29686
1	31	31194
2	46	31002
3	62	31236
4	78	31230
5	94	31561
6	111	31731
7	128	31886
8	144	31938
9	158	31612
10	173	31432
11	189	31460
12	205	31396
13	220	31325
14	235	31215
15	251	31160
16	266	31040
17	282	31124
18	299	31210
19	315	31278
20	331	31235
21	346	31162
22	362	31138
23	386	31858
24	407	32191
25	424	32231
26	440	32201
27	457	32207
28	472	32105
29	487	32027
30	504	32020
31	520	31983
32	535	31947
33	553	31985
34	568	31936
35	582	31801
36	599	31792
37	615	31795
38	632	31793
39	646	31690
40	662	31641
41	676	31555
42	691	31468
43	706	31404
44	721	31341
45	735	31253
46	751	31233
47	766	31151
48	781	31132
49	796	31048
50	812	31042
51	827	31011
52	844	31010
53	860	31015
54	875	30972
55	892	30971
56	907	30943
57	924	30948
58	939	30922
59	956	30923
60	972	30916
61	988	30902
62	1005	30913
63	1020	30883
64	1036	30870
65	1051	30826
66	1067	30812
67	1083	30793
68	1099	30774
69	1114	30727
70	1131	30736
71	1147	30729
72	1162	30675
73	1178	30676
74	1193	30645
75	1209	30629
76	1225	30606
77	1240	30573
78	1257	30575
79	1272	30535
80	1288	30520
81	1303	30489
82	1319	30478
83	1335	30468
84	1350	30437
85	1365	30399
86	1382	30399
87	1397	30371
88	1414	30364
89	1431	30369
90	1445	30328
91	1460	30298
92	1477	30306
93	1494	30304
94	1510	30290
95	1527	30289
96	1542	30262
97	1559	30266
98	1574	30238
99	1589	30198
100	1605	30178
101	1620	30156
102	1636	30131
103	1651	30106
104	1666	30077
105	1681	30043
106	1697	30034
107	1713	30016
108	1729	30000
109	1745	29993
110	1761	29979
111	1776	29953
112	1793	29951
113	1809	29942
114	1825	29918
115	1841	29901
116	1857	29889
117	1873	29882
118	1889	29874
119	1903	29822
120	1920	29829
121	1946	29968
122	1968	30042
123	1984	30024
124	1999	29993
125	2015	29969
126	2031	29955
127	2047	29943
128	2063	29927
129	2080	29924
130	2097	29923
131	2113	29911
132	2130	29907
133	2146	29884
134	2161	29862
135	2177	29849
136	2192	29809
137	2207	29786
138	2222	29751
139	2238	29744
140	2255	29736
141	2272	29728
142	2287	29710
143	2303	29688
144	2318	29658
145	2333	29635
146	2349	29613
147	2365	29594
148	2381	29591
149	2397	29565
150	2412	29544
151	2429	29533
152	2443	29501
153	2460	29488
154	2475	29464
155	2490	29439
156	2506	29424
157	2520	29386
158	2535	29356
159	2550	29331
160	2566	29312
161	2581	29293
162	2597	29271
163	2614	29264
164	2630	29254
165	2645	29232
166	2660	29200
167	2675	29177
168	2691	29155
169	2707	29150
170	2723	29135
171	2739	29114
172	2754	29092
173	2771	29084
174	2786	29061
175	2802	29048
176	2820	29047
177	2835	29022
178	2852	29014
179	2868	29000
180	2884	28984
181	2900	28975
182	2915	28948
183	2931	28936
184	2946	28911
185	2963	28902
186	2978	28881
187	2994	28863
188	3010	28850
189	3027	28838
190	3042	28819
191	3058	28802
192	3075	28792
193	3090	28771
194	3106	28757
195	3123	28749
196	3139	28734
197	3154	28713
198	3169	28689
199	3186	28676
200	3201	28656
201	3217	28638
202	3233	28625
203	3248	28598
204	3265	28589
205	3280	28570
206	3297	28559
207	3313	28549
208	3329	28529
209	3346	28523
210	3361	28497
211	3376	28478
212	3392	28458
213	3408	28450
214	3425	28437
215	3441	28423
216	3455	28393
217	3469	28361
218	3486	28350
219	3501	28333
220	3518	28324
221	3535	28316
222	3551	28303
223	3568	28296
224	3583	28271
225	3599	28256
226	3616	28248
227	3633	28235
228	3649	28220
229	3665	28207
230	3680	28184
231	3695	28166
232	3712	28154
233	3729	28144
234	3745	28131
235	3762	28123
236	3779	28116
237	3796	28104
238	3810	28078
239	3827	28068
240	3843	28054
241	3861	28049
242	3876	28026
243	3892	28011
244	3906	27986
245	3922	27968
246	3939	27958
247	3954	27937
248	3970	27920
249	3985	27900
250	4000	27873
251	4015	27856
252	4031	27834
253	4045	27809
254	4060	27788
255	4077	27775
256	4093	27762
257	4109	27748
258	4126	27739
259	4142	27719
260	4158	27705
261	4174	27690
262	4189	27672
263	4205	27652
264	4220	27629
265	4236	27619
266	4252	27600
267	4267	27582
268	4284	27570
269	4301	27559
270	4317	27543
271	4334	27535
272	4350	27518
273	4365	27497
274	4381	27483
275	4396	27462
276	4412	27449
277	4429	27439
278	4445	27419
279	4460	27399
280	4475	27379
281	4492	27371
282	4509	27360
283	4524	27341
284	4540	27324
285	4557	27312
286	4572	27293
287	4587	27271
288	4603	27251
289	4620	27242
290	4636	27232
291	4653	27218
292	4668	27201
293	4683	27179
294	4700	27167
295	4714	27140
296	4729	27117
297	4745	27102
298	4761	27087
299	4778	27078
300	4793	27059
301	4810	27044
302	4826	27029
303	4841	27010
304	4857	26994
305	4873	26977
306	4890	26967
307	4905	26949
308	4921	26932
309	4937	26918
310	4953	26901
311	4969	26885
312	4985	26873
313	5001	26853
314	5015	26829
315	5030	26809
316	5045	26788
317	5062	26774
318	5079	26764
319	5094	26746
320	5110	26731
321	5127	26718
322	5142	26699
323	5157	26679
324	5174	26667
325	5189	26648
326	5205	26633
327	5221	26615
328	5237	26603
329	5253	26585
330	5268	26565
331	5285	26554
332	5300	26535
333	5316	26516
334	5331	26498
335	5347	26480
336	5362	26463
337	5378	26448
338	5395	26434
339	5411	26420
340	5427	26403
341	5443	26388
342	5458	26370
343	5474	26356
344	5490	26340
345	5508	26333
346	5525	26322
347	5542	26309
348	5557	26290
349	5572	26268
350	5588	26255
351	5605	26245
352	5621	26227
353	5638	26219
354	5654	26201
355	5670	26187
356	5687	26173
357	5702	26156
358	5719	26146
359	5736	26132
360	5751	26113
361	5768	26100
362	5783	26082
363	5799	26063
364	5815	26049
365	5832	26038
366	5849	26027
367	5865	26013
368	5880	25994
